1776346147.9207323,Not Paying Attention,2
1776346148.0164726,Not Paying Attention,4
1776346148.1106818,Not Paying Attention,6
1776346148.223209,Not Paying Attention,8
1776346148.321944,Not Paying Attention,10
1776346148.416692,Not Paying Attention,12
1776346148.5283074,Not Paying Attention,14
1776346148.6240523,Not Paying Attention,16
1776346148.72096,Not Paying Attention,18
1776346148.8158894,Not Paying Attention,20
1776346148.927591,Not Paying Attention,22
1776346149.020343,Not Paying Attention,24
1776346149.1180818,Not Paying Attention,26
1776346149.2137892,Not Paying Attention,28
1776346149.3274846,Not Paying Attention,30
1776346149.4242253,Not Paying Attention,32
1776346149.5176847,Not Paying Attention,34
1776346149.614768,Not Paying Attention,36
1776346149.7273703,Not Paying Attention,37
1776346149.82117,Not Paying Attention,39
1776346149.91729,Not Paying Attention,41
1776346150.015507,Not Paying Attention,43
1776346150.1293044,Not Paying Attention,45
1776346150.2270427,Not Paying Attention,47
1776346150.3217893,Not Paying Attention,49
1776346150.4175324,Not Paying Attention,51
1776346150.528299,Not Paying Attention,53
1776346150.6223023,Not Paying Attention,55
1776346150.719219,Not Paying Attention,57
1776346150.8330534,Not Paying Attention,59
1776346150.9287941,Not Paying Attention,61
1776346151.02753,Not Paying Attention,63
1776346151.1176794,Not Paying Attention,65
1776346151.2306604,Not Paying Attention,67
1776346151.3274026,Not Paying Attention,69
1776346151.4209855,Not Paying Attention,71
1776346151.5172188,Not Paying Attention,73
1776346151.6358502,Not Paying Attention,75
1776346151.72625,Not Paying Attention,77
1776346151.8210907,Not Paying Attention,79
1776346151.9167156,Not Paying Attention,81
1776346152.0286615,Not Paying Attention,83
1776346152.1237621,Not Paying Attention,85
1776346152.2215025,Not Paying Attention,87
1776346152.3171968,Not Paying Attention,89
1776346152.430372,Not Paying Attention,91
1776346152.5249364,Not Paying Attention,93
1776346152.6214728,Not Paying Attention,95
1776346152.7228346,Not Paying Attention,97
1776346152.8272655,Not Paying Attention,99
1776346152.9236493,Not Paying Attention,101
1776346153.0267344,Not Paying Attention,103
1776346153.133173,Not Paying Attention,105
1776346153.2279515,Not Paying Attention,107
1776346153.3235357,Not Paying Attention,109
1776346153.4202075,Not Paying Attention,111
1776346153.5324478,Not Paying Attention,113
1776346153.62842,Not Paying Attention,115
1776346153.7237449,Not Paying Attention,117
1776346153.824508,Not Paying Attention,119
